Date,Sum
2015-07-01,148672476.0
2015-07-02,149593840.0
2015-07-03,141164198.0
2015-07-04,145612937.0
2015-07-05,151495372.0
2015-07-06,160742234.0
2015-07-07,154147373.0
2015-07-08,148860911.0
2015-07-09,149532135.0
2015-07-10,148374487.0
2015-07-11,145311879.0
2015-07-12,161476064.0
2015-07-13,162094487.0
2015-07-14,162050605.0
2015-07-15,151989235.0
2015-07-16,153778535.0
2015-07-17,151494233.0
2015-07-18,145816963.0
2015-07-19,152532492.0
2015-07-20,157454666.0
2015-07-21,150171972.0
2015-07-22,149541897.0
2015-07-23,144103064.0
2015-07-24,136380422.0
2015-07-25,133951531.0
2015-07-26,143817681.0
2015-07-27,148411035.0
2015-07-28,146099674.0
2015-07-29,161641638.0
2015-07-30,136648822.0
2015-07-31,131697023.0
2015-08-01,127190355.0
2015-08-02,139119487.0
2015-08-03,137409036.0
2015-08-04,151451701.0
2015-08-05,150381812.0
2015-08-06,151661232.0
2015-08-07,151518453.0
2015-08-08,145254353.0
2015-08-09,152239560.0
2015-08-10,150036703.0
2015-08-11,152812232.0
2015-08-12,153955761.0
2015-08-13,153464486.0
2015-08-14,150248544.0
2015-08-15,148954809.0
2015-08-16,158274375.0
2015-08-17,160869797.0
2015-08-18,158093749.0
2015-08-19,151358109.0
2015-08-20,146749726.0
2015-08-21,145025597.0
2015-08-22,144240800.0
2015-08-23,163309505.0
2015-08-24,164491327.0
2015-08-25,164452851.0
2015-08-26,155374496.0
2015-08-27,156413916.0
2015-08-28,149914206.0
2015-08-29,145510774.0
2015-08-30,157754907.0
2015-08-31,166277162.0
2015-09-01,156937034.0
2015-09-02,158601169.0
2015-09-03,157630547.0
2015-09-04,150611885.0
2015-09-05,151151117.0
2015-09-06,162415174.0
2015-09-07,169077653.0
2015-09-08,165248873.0
2015-09-09,162482119.0
2015-09-10,156543705.0
2015-09-11,156699645.0
2015-09-12,150833172.0
2015-09-13,169134067.0
2015-09-14,165657606.0
2015-09-15,158982976.0
2015-09-16,157353694.0
2015-09-17,163342201.0
2015-09-18,154806330.0
2015-09-19,150125990.0
2015-09-20,167435558.0
2015-09-21,176659471.0
2015-09-22,168812357.0
2015-09-23,175807587.0
2015-09-24,161348799.0
2015-09-25,154848840.0
2015-09-26,150540220.0
2015-09-27,165804639.0
2015-09-28,174610204.0
2015-09-29,163208183.0
2015-09-30,165359611.0
2015-10-01,159729851.0
2015-10-02,155795214.0
2015-10-03,159221338.0
2015-10-04,172337536.0
2015-10-05,170531955.0
2015-10-06,164037637.0
2015-10-07,166406710.0
2015-10-08,165902150.0
2015-10-09,163346682.0
2015-10-10,162959562.0
2015-10-11,174807551.0
2015-10-12,181003437.0
2015-10-13,178014236.0
2015-10-14,181375001.0
2015-10-15,172466118.0
2015-10-16,155746029.0
2015-10-17,155426596.0
2015-10-18,170015238.0
2015-10-19,175443504.0
2015-10-20,176143573.0
2015-10-21,176395808.0
2015-10-22,171589591.0
2015-10-23,163469030.0
2015-10-24,158471536.0
2015-10-25,173615017.0
2015-10-26,177435448.0
2015-10-27,177844733.0
2015-10-28,173554821.0
2015-10-29,167300911.0
2015-10-30,161036404.0
2015-10-31,155072944.0
2015-11-01,165271818.0
2015-11-02,179109144.0
2015-11-03,173602617.0
2015-11-04,173112003.0
2015-11-05,173084074.0
2015-11-06,163135305.0
2015-11-07,160246589.0
2015-11-08,175515680.0
2015-11-09,179421475.0
2015-11-10,175594901.0
2015-11-11,174412750.0
2015-11-12,170172049.0
2015-11-13,161695888.0
2015-11-14,164022358.0
2015-11-15,180621132.0
2015-11-16,181868062.0
2015-11-17,182733049.0
2015-11-18,176478948.0
2015-11-19,172565447.0
2015-11-20,164625272.0
2015-11-21,170373706.0
2015-11-22,184697169.0
2015-11-23,186522723.0
2015-11-24,181409158.0
2015-11-25,177216326.0
2015-11-26,168996036.0
2015-11-27,164612764.0
2015-11-28,167663357.0
2015-11-29,179406891.0
2015-11-30,184493520.0
2015-12-01,173646117.0
2015-12-02,172110829.0
2015-12-03,170904398.0
2015-12-04,165383658.0
2015-12-05,161666188.0
2015-12-06,177078169.0
2015-12-07,186939359.0
2015-12-08,174571574.0
2015-12-09,169804323.0
2015-12-10,165447062.0
2015-12-11,162505558.0
2015-12-12,160705761.0
2015-12-13,177156499.0
2015-12-14,178890458.0
2015-12-15,168066749.0
2015-12-16,168040435.0
2015-12-17,166087599.0
2015-12-18,164489574.0
2015-12-19,161847432.0
2015-12-20,174047856.0
2015-12-21,174412131.0
2015-12-22,165007059.0
2015-12-23,165738628.0
2015-12-24,155818781.0
2015-12-25,161236343.0
2015-12-26,181728087.0
2015-12-27,179218273.0
2015-12-28,178557251.0
2015-12-29,175313506.0
2015-12-30,167921806.0
2015-12-31,166705423.0
2016-01-01,182017309.0
2016-01-02,194359465.0
2016-01-03,200097562.0
2016-01-04,198959845.0
2016-01-05,187263054.0
2016-01-06,188006324.0
2016-01-07,185596487.0
2016-01-08,185589271.0
2016-01-09,191662967.0
2016-01-10,206566069.0
2016-01-11,260602830.0
2016-01-12,214903501.0
2016-01-13,195717008.0
2016-01-14,209004706.0
2016-01-15,199299164.0
2016-01-16,197564902.0
2016-01-17,208146537.0
2016-01-18,208067119.0
2016-01-19,205162347.0
2016-01-20,195518259.0
2016-01-21,193388090.0
2016-01-22,196909305.0
2016-01-23,188554427.0
2016-01-24,203675201.0
2016-01-25,210515517.0
2016-01-26,197911974.0
2016-01-27,197396154.0
2016-01-28,186711859.0
2016-01-29,184707186.0
2016-01-30,186858017.0
2016-01-31,208279202.0
2016-02-01,209597258.0
2016-02-02,215143847.0
2016-02-03,213326977.0
2016-02-04,196514985.0
2016-02-05,194171540.0
2016-02-06,183149769.0
2016-02-07,204065816.0
2016-02-08,226685561.0
2016-02-09,200927608.0
2016-02-10,205208039.0
2016-02-11,193416564.0
2016-02-12,194177170.0
2016-02-13,192276221.0
2016-02-14,211466529.0
2016-02-15,207519361.0
2016-02-16,211010410.0
2016-02-17,201956011.0
2016-02-18,192152661.0
2016-02-19,183651953.0
2016-02-20,185163270.0
2016-02-21,200941237.0
2016-02-22,208283727.0
2016-02-23,196004049.0
2016-02-24,197209636.0
2016-02-25,194521561.0
2016-02-26,185454402.0
2016-02-27,182381912.0
2016-02-28,204120228.0
2016-02-29,249667941.0
2016-03-01,201047747.0
2016-03-02,200563308.0
2016-03-03,196834683.0
2016-03-04,192450474.0
2016-03-05,197200442.0
2016-03-06,216100027.0
2016-03-07,213313612.0
2016-03-08,201873314.0
2016-03-09,199181170.0
2016-03-10,183324546.0
2016-03-11,182088212.0
2016-03-12,172942998.0
2016-03-13,184862267.0
2016-03-14,194108014.0
2016-03-15,185886406.0
2016-03-16,191617170.0
2016-03-17,181108824.0
2016-03-18,171774943.0
2016-03-19,166883089.0
2016-03-20,178636275.0
2016-03-21,179926054.0
2016-03-22,174347083.0
2016-03-23,175254427.0
2016-03-24,169890048.0
2016-03-25,176172842.0
2016-03-26,170906840.0
2016-03-27,184801364.0
2016-03-28,193986409.0
2016-03-29,185982089.0
2016-03-30,178310604.0
2016-03-31,172608736.0
2016-04-01,171239032.0
2016-04-02,186060062.0
2016-04-03,204487747.0
2016-04-04,211473312.0
2016-04-05,203423671.0
2016-04-06,203797651.0
2016-04-07,186282665.0
2016-04-08,178550540.0
2016-04-09,177459441.0
2016-04-10,194964603.0
2016-04-11,193293207.0
2016-04-12,187243303.0
2016-04-13,185296917.0
2016-04-14,186238889.0
2016-04-15,182632510.0
2016-04-16,175727267.0
2016-04-17,192603398.0
2016-04-18,196053156.0
2016-04-19,196112112.0
2016-04-20,194539109.0
2016-04-21,210332477.0
2016-04-22,201599104.0
2016-04-23,188065316.0
2016-04-24,207086664.0
2016-04-25,201484690.0
2016-04-26,188651072.0
2016-04-27,182713228.0
2016-04-28,180640130.0
2016-04-29,173168924.0
2016-04-30,171841691.0
2016-05-01,185741092.0
2016-05-02,192639424.0
2016-05-03,193802154.0
2016-05-04,191476751.0
2016-05-05,183126300.0
2016-05-06,182792351.0
2016-05-07,177553055.0
2016-05-08,188560754.0
2016-05-09,196590986.0
2016-05-10,190891959.0
2016-05-11,183070942.0
2016-05-12,183806773.0
2016-05-13,174725681.0
2016-05-14,180077817.0
2016-05-15,196927219.0
2016-05-16,198547749.0
2016-05-17,187898585.0
2016-05-18,185542642.0
2016-05-19,182410481.0
2016-05-20,170974468.0
2016-05-21,177694821.0
2016-05-22,187118151.0
2016-05-23,194260810.0
2016-05-24,183104305.0
2016-05-25,179406902.0
2016-05-26,176607133.0
2016-05-27,168733669.0
2016-05-28,172405929.0
2016-05-29,184408809.0
2016-05-30,187837426.0
2016-05-31,179873392.0
2016-06-01,178197634.0
2016-06-02,176254678.0
2016-06-03,170047082.0
2016-06-04,184567945.0
2016-06-05,197272573.0
2016-06-06,196423061.0
2016-06-07,186334612.0
2016-06-08,185666214.0
2016-06-09,181882782.0
2016-06-10,182101860.0
2016-06-11,189295869.0
2016-06-12,209584469.0
2016-06-13,210393273.0
2016-06-14,203588352.0
2016-06-15,190905301.0
2016-06-16,186318796.0
2016-06-17,177549283.0
2016-06-18,173831342.0
2016-06-19,193337062.0
2016-06-20,205705581.0
2016-06-21,187441220.0
2016-06-22,191098818.0
2016-06-23,179887886.0
2016-06-24,184596218.0
2016-06-25,179612468.0
2016-06-26,193578818.0
2016-06-27,201211135.0
2016-06-28,188579999.0
2016-06-29,180012720.0
2016-06-30,185223214.0
2016-07-01,177357892.0
2016-07-02,182827621.0
2016-07-03,188089526.0
2016-07-04,187687907.0
2016-07-05,188773564.0
2016-07-06,204979788.0
2016-07-07,188461822.0
2016-07-08,170801688.0
2016-07-09,173793775.0
2016-07-10,203480758.0
2016-07-11,204495628.0
2016-07-12,185724031.0
2016-07-13,180363880.0
2016-07-14,176203527.0
2016-07-15,171289723.0
2016-07-16,172104038.0
2016-07-17,183280447.0
2016-07-18,187057420.0
2016-07-19,184866661.0
2016-07-20,215056777.0
2016-07-21,250692036.0
2016-07-22,274524545.0
2016-07-23,272127362.0
2016-07-24,295947073.0
2016-07-25,308034171.0
2016-07-26,307818824.0
2016-07-27,301125520.0
2016-07-28,297528285.0
2016-07-29,287681198.0
2016-07-30,275764063.0
2016-07-31,296798491.0
2016-08-01,303782821.0
2016-08-02,296411171.0
2016-08-03,272388954.0
2016-08-04,256023929.0
2016-08-05,255586900.0
2016-08-06,264807634.0
2016-08-07,273924381.0
2016-08-08,299841650.0
2016-08-09,292467811.0
2016-08-10,305062526.0
2016-08-11,296863757.0
2016-08-12,300479820.0
2016-08-13,291160213.0
2016-08-14,304248864.0
2016-08-15,316944994.0
2016-08-16,289053248.0
2016-08-17,198634475.0
2016-08-18,196721016.0
2016-08-19,192518563.0
2016-08-20,192030105.0
2016-08-21,212852693.0
2016-08-22,206453309.0
2016-08-23,201502262.0
2016-08-24,193194271.0
2016-08-25,188642867.0
2016-08-26,181450937.0
2016-08-27,185721143.0
2016-08-28,207623769.0
2016-08-29,224132038.0
2016-08-30,232287594.0
2016-08-31,231057291.0
2016-09-01,229933273.0
2016-09-02,228693546.0
2016-09-03,233095016.0
2016-09-04,247492957.0
2016-09-05,229437155.0
2016-09-06,218399282.0
2016-09-07,203263032.0
2016-09-08,190130238.0
2016-09-09,182782849.0
2016-09-10,191367220.0
2016-09-11,208843471.0
2016-09-12,202974764.0
2016-09-13,207992855.0
2016-09-14,203774895.0
2016-09-15,203378761.0
2016-09-16,182030170.0
2016-09-17,186703675.0
2016-09-18,204543176.0
2016-09-19,213588818.0
2016-09-20,195207409.0
2016-09-21,198926923.0
2016-09-22,197178476.0
2016-09-23,189604436.0
2016-09-24,183879938.0
2016-09-25,201230454.0
2016-09-26,206164111.0
2016-09-27,205412213.0
2016-09-28,200747326.0
2016-09-29,195159698.0
2016-09-30,184006480.0
2016-10-01,192428241.0
2016-10-02,207238472.0
2016-10-03,218196194.0
2016-10-04,210230913.0
2016-10-05,222779565.0
2016-10-06,222702101.0
2016-10-07,184970397.0
2016-10-08,194833849.0
2016-10-09,214491187.0
2016-10-10,215744159.0
2016-10-11,196584962.0
2016-10-12,197214704.0
2016-10-13,199247266.0
2016-10-14,191223582.0
2016-10-15,194936569.0
2016-10-16,216747296.0
2016-10-17,213659854.0
2016-10-18,203691602.0
2016-10-19,202093239.0
2016-10-20,201985759.0
2016-10-21,191243589.0
2016-10-22,188904939.0
2016-10-23,205961510.0
2016-10-24,211459512.0
2016-10-25,202437652.0
2016-10-26,193496816.0
2016-10-27,193471137.0
2016-10-28,181983203.0
2016-10-29,182250694.0
2016-10-30,200259651.0
2016-10-31,204749721.0
2016-11-01,198481557.0
2016-11-02,201020111.0
2016-11-03,205776107.0
2016-11-04,195642325.0
2016-11-05,200956095.0
2016-11-06,220756464.0
2016-11-07,219602206.0
2016-11-08,223633826.0
2016-11-09,302272416.0
2016-11-10,242919627.0
2016-11-11,227545350.0
2016-11-12,216379781.0
2016-11-13,235823494.0
2016-11-14,239362801.0
2016-11-15,219647321.0
2016-11-16,213753535.0
2016-11-17,205958680.0
2016-11-18,196470020.0
2016-11-19,197134716.0
2016-11-20,208314036.0
2016-11-21,215190999.0
2016-11-22,215130671.0
2016-11-23,203161092.0
2016-11-24,193389139.0
2016-11-25,186656031.0
2016-11-26,207985197.0
2016-11-27,222771224.0
2016-11-28,206084091.0
2016-11-29,216160779.0
2016-11-30,197217697.0
2016-12-01,195854181.0
2016-12-02,190003747.0
2016-12-03,203603885.0
2016-12-04,214750844.0
2016-12-05,213185641.0
2016-12-06,210783397.0
2016-12-07,203624320.0
2016-12-08,199839817.0
2016-12-09,192940799.0
2016-12-10,192419499.0
2016-12-11,203692120.0
2016-12-12,206326135.0
2016-12-13,196807277.0
2016-12-14,205300346.0
2016-12-15,188688156.0
2016-12-16,179074620.0
2016-12-17,181199211.0
2016-12-18,208515640.0
2016-12-19,220854276.0
2016-12-20,212933744.0
2016-12-21,201119631.0
2016-12-22,196860226.0
2016-12-23,194884736.0
2016-12-24,197644557.0
2016-12-25,215333402.0
2016-12-26,237068067.0
2016-12-27,237248109.0
2016-12-28,230782936.0
2016-12-29,237886569.0
2016-12-30,207608296.0
2016-12-31,209321794.0
